num,name_pt,name_zh,cas,ec,notes
479,"Gás residual (petróleo), do desetanizador da alimentação de alquilação propano-propileno, se contiver > 0,1 % (m/m) de butadieno",丙烷-丙烯烷基化进料脱乙烷塔残余气（含丁二烯>0.1% m/m）,68308-11-2,269-631-9,
480,"Gás residual (petróleo), do hidrogenodessulfurizador do gasóleo de vácuo, sem sulfureto de hidrogênio, se contiver > 0,1 % (m/m) de butadieno",真空柴油加氢脱硫装置残余气（无硫化氢，含丁二烯>0.1% m/m）,68308-12-3,269-632-4,
481,"Gases (petróleo), de cabeça da destilação de produtos de cracking catalítico, se contiverem > 0,1 % (m/m) de butadieno",催化裂化产品蒸馏塔顶气（含丁二烯>0.1% m/m）,68409-99-4,270-071-2,
482,"Alcanos, C1-2, se contiverem > 0,1 % (m/m) de butadieno",烷烃（C1-2，含丁二烯>0.1% m/m）,68475-57-0,270-651-5,
483,"Alcanos, C2-3, se contiverem > 0,1 % (m/m) de butadieno",烷烃（C2-3，含丁二烯>0.1% m/m）,68475-58-1,270-652-0,
484,"Alcanos, C3-4, se contiverem > 0,1 % (m/m) de butadieno",烷烃（C3-4，含丁二烯>0.1% m/m）,68475-59-2,270-653-6,
485,"Alcanos, C4-5, se contiverem > 0,1 % (m/m) de butadieno",烷烃（C4-5，含丁二烯>0.1% m/m）,68475-60-5,270-654-1,
486,"Gases combustíveis, se contiverem > 0,1 % (m/m) de butadieno",可燃气体（含丁二烯>0.1% m/m）,68476-26-6,270-667-2,
487,"Gases combustíveis, destilados de petróleo bruto, se contiverem > 0,1 % (m/m) de butadieno",原油馏分可燃气体（含丁二烯>0.1% m/m）,68476-29-9,270-670-9,
488,"Hidrocarbonetos, C3-4, se contiverem > 0,1 % (m/m) de butadieno",烃类（C3-4，含丁二烯>0.1% m/m）,68476-40-4,270-681-9,
489,"Hidrocarbonetos, C4-5, se contiverem > 0,1 % (m/m) de butadieno",烃类（C4-5，含丁二烯>0.1% m/m）,68476-42-6,270-682-4,
490,"Hidrocarbonetos, C2-4, ricos em C3, se contiverem > 0,1 % (m/m) de butadieno",烃类（C2-4，富C3，含丁二烯>0.1% m/m）,68476-49-3,270-689-2,
491,"Gases de petróleo, liquefeitos, se contiverem > 0,1 % (m/m) de butadieno",液化石油气（含丁二烯>0.1% m/m）,68476-85-7,270-704-2,
492,"Gases de petróleo, liquefeitos, tratados (sweetened), se contiverem > 0,1 % (m/m) de butadieno",精制液化石油气（含丁二烯>0.1% m/m）,68476-86-8,270-705-8,
493,"Gases (petróleo), C3-4; ricos em isobutano, se contiverem > 0,1 % (m/m) de butadieno",石油气（C3-4，富异丁烷，含丁二烯>0.1% m/m）,68477-33-8,270-724-1,
494,"Destilados (petróleo), C3-6, ricos em piperilenos, se contiverem > 0,1 % (m/m) de butadieno",石油馏分（C3-6，富戊二烯，含丁二烯>0.1% m/m）,68477-35-0,270-726-2,
495,"Gases (petróleo), de alimentação do processo de tratamento com aminas, se contiverem > 0,1 % (m/m) de butadieno",胺处理进料气（含丁二烯>0.1% m/m）,68477-65-6,270-746-1,
496,"Gases (petróleo), do hidrogenodessulfurizador da unidade de benzeno, se contiverem > 0,1 % (m/m) de butadieno",苯装置加氢脱硫器气（含丁二烯>0.1% m/m）,68477-66-7,270-747-7,
497,"Gases (petróleo), reciclo da unidade de benzeno, ricos em hidrogênio, se contiverem > 0,1 % (m/m) de butadieno",苯装置循环气（富氢，含丁二烯>0.1% m/m）,68477-67-8,270-748-2,
498,"Gases (petróleo), de mistura de hidrocarbonetos, ricos em hidrogênio e nitrogênio, se contiverem > 0,1 % (m/m) de butadieno",烃混合气（富氢、氮，含丁二烯>0.1% m/m）,68477-68-9,270-749-8,
499,"Gases (petróleo), de cabeça da coluna de separação de butano, se contiverem > 0,1 % (m/m) de butadieno",丁烷分离塔顶气（含丁二烯>0.1% m/m）,68477-69-0,270-750-3,
500,"Gases (petróleo), C2-3, se contiverem > 0,1 % (m/m) de butadieno",石油气（C2-3，含丁二烯>0.1% m/m）,68477-70-3,270-751-9,
501,"Gases (petróleo), produtos de cauda da coluna de despropanização do gasóleo do cracking catalítico, ricos em C4 sem","催化裂化柴油脱丙烷塔塔底产物（富C4，无",68477-71-4,270-752-4,
502,"Gases (petróleo), produtos de cauda do desbutanizador da nafta do cracking catalítico, ricos em C3-5, se contiverem > 0,1 % (m/m) de butadieno",催化裂化石脑油脱丁烷塔塔底产物（富C3-5，含丁二烯>0.1% m/m）,68477-72-5,270-754-5,
503,"Gases (petróleo), produtos de cabeça do despropanizador da nafta do cracking catalítico, ricos em C3 e sem ácidos, se contiverem > 0,1 % (m/m) de butadieno",催化裂化石脑油脱丙烷塔塔顶产物（富C3，无酸，含丁二烯>0.1% m/m）,68477-73-6,270-755-0,
504,"Gases (petróleo), do cracker catalítico, se contiverem > 0,1 % (m/m) de butadieno",催化裂化气（含丁二烯>0.1% m/m）,68477-74-7,270-756-6,
505,"Gases (petróleo), do cracker catalítico, ricos em C1-5, se contiverem > 0,1 % (m/m) de butadieno",催化裂化气（富C1-5，含丁二烯>0.1% m/m）,68477-75-8,270-757-1,
506,"Gases (petróleo), de cabeça do estabilizador da nafta polimerizada cataliticamente, ricos em C2-4, se contiverem > 0,1 % (m/m) de butadieno",催化聚合石脑油稳定塔塔顶气（富C2-4，含丁二烯>0.1% m/m）,68477-76-9,270-758-7,
507,"Gases (petróleo), de cabeça do estabilizador da nafta do reforming catalítico, se contiverem > 0,1 % (m/m) de butadieno",催化重整石脑油稳定塔塔顶气（含丁二烯>0.1% m/m）,68477-77-0,270-759-2,
508,"Gases (petróleo), do reformer catalítico, ricos em C1-4, se contiverem > 0,1 % (m/m) de butadieno",催化重整气（富C1-4，含丁二烯>0.1% m/m）,68477-79-2,270-760-8,
509,"Gases (petróleo), do reciclo do reformer catalítico da fração C6-8, se contiverem > 0,1 % (m/m) de butadieno",C6-8馏分催化重整循环气（含丁二烯>0.1% m/m）,68477-80-5,270-761-3,
510,"Gases (petróleo), do reformer catalítico da fração C6-8, se contiverem > 0,1 % (m/m) de butadieno",C6-8馏分催化重整气（含丁二烯>0.1% m/m）,68477-81-6,270-762-9,
511,"Gases (petróleo), reciclados C6-8 do reforming catalítico, ricos em hidrogênio, se contiverem > 0,1 % (m/m) de butadieno",催化重整C6-8循环气（富氢，含丁二烯>0.1% m/m）,68477-82-7,270-763-4,
512,"Gases (petróleo), C3-5 olefínicos-parafínicos da carga de alquilação, se contiverem > 0,1 % (m/m) de butadieno",烷基化进料C3-5烯烃-烷烃气（含丁二烯>0.1% m/m）,68477-83-8,270-765-5,
513,"Gases (petróleo), fluxo de retorno em C2, se contiverem > 0,1 % (m/m) de butadieno",C2回流气（含丁二烯>0.1% m/m）,68477-84-9,270-766-0,
514,"Gases (petróleo), ricos em C4, se contiverem > 0,1 % (m/m) de butadieno",富C4石油气（含丁二烯>0.1% m/m）,68477-85-0,270-767-6,
515,"Gases (petróleo), de cabeça do desetanizador, se contiverem > 0,1 % (m/m) de butadieno",脱乙烷塔塔顶气（含丁二烯>0.1% m/m）,68477-86-1,270-768-1,
516,"Gases (petróleo), de cabeça da coluna do desisobutanizador, se contiverem > 0,1 % (m/m) de butadieno",脱异丁烷塔塔顶气（含丁二烯>0.1% m/m）,68477-87-2,270-769-7,
517,"Gases (petróleo), secos do despropanizador, ricos em propeno, se contiverem> 0,1 % (m/m) de butadieno",脱丙烷塔干气（富丙烯，含丁二烯>0.1% m/m）,68477-90-7,270-772-3,
518,"Gases (petróleo), de cabeça do despropanizador, se contiverem > 0,1 % (m/m) de butadieno",脱丙烷塔塔顶气（含丁二烯>0.1% m/m）,68477-91-8,270-773-9,
519,"Gases (petróleo), ácidos secos, de uma unidade de concentração de gases, se contiverem > 0,1 % (m/m) de butadieno",气体浓缩装置酸性干气（含丁二烯>0.1% m/m）,68477-92-9,-,
520,"Gases (petróleo), da destilação da coluna de reabsorção de gases concentrados, se contiverem > 0,1 % (m/m) de butadieno",浓缩气再吸收塔蒸馏气（含丁二烯>0.1% m/m）,68477-93-0,-,
522,"Gases (petróleo), de alimentação da unidade Girbatol, se contiverem > 0,1 % (m/m) de butadieno",Girbatol装置进料气（含丁二烯>0.1% m/m）,68477-95-2,270-778-6,
523,"Gases (petróleo), da coluna de absorção de hidrogênio, se contiverem > 0,1 % (m/m) de butadieno",氢气吸收塔气（含丁二烯>0.1% m/m）,68477-96-3,270-779-1,
524,"Gases (petróleo), ricos em hidrogênio, se contiverem > 0,1 % (m/m) de butadieno",富氢石油气（含丁二烯>0.1% m/m）,68477-97-4,-,
525,"Gases (petróleo), de reciclo de misturas de hidrocarbonetos da unidade de tratamento com hidrogênio, ricos em hidrogênio e nitrogênio, se contiverem > 0,1 % (m/m) de butadieno",加氢处理装置烃混合物循环气（富氢、氮，含丁二烯>0.1% m/m）,68477-98-5,270-781-2,
526,"Gases (petróleo), da coluna de fracionamento da nafta isomerizada, ricos em C4, sem sulfureto de hidrogênio, se contiverem > 0,1 % (m/m) de butadieno",异构化石脑油分馏塔气（富C4，无硫化氢，含丁二烯>0.1% m/m）,68477-99-6,270-782-8,
527,"Gases (petróleo), de reciclo, ricos em hidrogênio, se contiverem > 0,1 % (m/m) de butadieno",循环石油气（富氢，含丁二烯>0.1% m/m）,68478-00-2,270-783-3,
528,"Gases (petróleo), de make-up do reformer catalítico, ricos em hidrogênio, se contiverem > 0,1 % (m/m) de butadieno",催化重整补充气（富氢，含丁二烯>0.1% m/m）,68478-01-3,270-784-9,
529,"Gases (petróleo), da unidade de hydroforming, se contiverem > 0,1 % (m/m) de butadieno",临氢重整装置气（含丁二烯>0.1% m/m）,68478-02-4,270-785-4,
530,"Gases (petróleo), da unidade de hydroforming, ricos em hidrogênio e metano, se contiverem > 0,1 % (m/m) de butadieno",临氢重整装置气（富氢、甲烷，含丁二烯>0.1% m/m）,68478-03-5,270-787-5,
531,"Gases (petróleo), de make-up da unidade de hydroforming, ricos em hidrogênio, se contiverem > 0,1 % (m/m) de butadieno",临氢重整补充气（富氢，含丁二烯>0.1% m/m）,68478-04-6,270-788-0,
532,"Gases (petróleo), da destilação dos produtos do cracking térmico, se contiverem > 0,1 % (m/m) de butadieno",热裂化产品蒸馏气（含丁二烯>0.1% m/m）,68478-05-7,270-789-6,
533,"Gás residual (petróleo), do tanque de refluxo do fracionamento de óleo clarificado de cracking catalítico e resíduo de vácuo de cracking térmico, se contiver > 0,1 % (m/m) de butadieno",催化裂化澄清油及热裂化真空残渣分馏回流罐残余气（含丁二烯>0.1% m/m）,68478-21-7,270-802-5,
534,"Gás residual (petróleo), da torre de absorção de estabilização da nafta do cracking catalítico, se contiver > 0,1 % (m/m) de butadieno",催化裂化石脑油稳定吸收塔残余气（含丁二烯>0.1% m/m）,68478-22-8,270-803-0,
535,"Gás residual (petróleo), do fracionador de correntes combinadas do cracker catalítico, reformer catalítico e hidrogenodessulfurizador, se contiver > 0,1 % (m/m) de butadieno",催化裂化、催化重整及加氢脱硫联合进料分馏塔残余气（含丁二烯>0.1% m/m）,68478-24-0,270-804-6,
536,"Gás residual (petróleo), da torre de absorção de uma unidade de refracionamento de um cracker catalítico, se contiver > 0,1 % (m/m) de butadieno",催化裂化重分馏装置吸收塔残余气（含丁二烯>0.1% m/m）,68478-25-1,270-805-1,
537,"Gás residual (petróleo), do estabilizador do fracionamento de nafta do reforming catalítico, se contiver > 0,1 % (m/m) de butadieno",催化重整石脑油分馏稳定塔残余气（含丁二烯>0.1% m/m）,68478-26-2,270-806-7,
538,"Gás residual (petróleo), do separador da nafta do reforming catalítico, se contiver > 0,1 % (m/m) de butadieno",催化重整石脑油分离器残余气（含丁二烯>0.1% m/m）,68478-27-3,270-807-2,
539,"Gás residual (petróleo), do estabilizador de nafta do reforming catalítico, se contiver > 0,1 % (m/m) de butadieno",催化重整石脑油稳定塔残余气（含丁二烯>0.1% m/m）,68478-28-4,270-808-8,
540,"Gás residual (petróleo), do separador da unidade de tratamento com hidrogênio de destilados de cracking, se contiver > 0,1 % (m/m) de butadieno",裂化馏分加氢处理装置分离器残余气（含丁二烯>0.1% m/m）,68478-29-5,270-809-3,
541,"Gás residual (petróleo), do separador da nafta de destilação directa hidrogenodessulfurizada, se contiver > 0,1 % (m/m) de butadieno",直馏加氢脱硫石脑油分离器残余气（含丁二烯>0.1% m/m）,68478-30-8,270-810-9,
542,"Gás residual (petróleo), saturado de várias origens, rico em C4, se contiver > 0,1 % (m/m) de butadieno",多来源饱和石油残余气（富C4，含丁二烯>0.1% m/m）,68478-32-0,270-813-5,
543,"Gás residual (petróleo), saturado da unidade recuperação de gases, rico em C1-2, se contiver > 0,1 % (m/m) de butadieno",气体回收装置饱和残余气（富C1-2，含丁二烯>0.1% m/m）,68478-33-1,270-814-0,
544,"Gás residual (petróleo), do cracker térmico dos resíduos de vácuo, se contiver > 0,1 % (m/m) de butadieno",真空残渣热裂化装置残余气（含丁二烯>0.1% m/m）,68478-34-2,270-815-6,
545,"Hidrocarbonetos, ricos em C3-4, destilado do petróleo, se contiverem > 0,1 % (m/m) de butadieno",石油馏分（富C3-4，含丁二烯>0.1% m/m）,68512-91-4,270-990-9,
546,"Gases (petróleo), de cabeça do estabilizador do reforming catalítico da nafta de destilação directa, se contiverem > 0,1 % (m/m) de butadieno",直馏石脑油催化重整稳定塔塔顶气（含丁二烯>0.1% m/m）,68513-14-4,270-999-8,
547,"Gases (petróleo), do desexanizador da nafta de destilação directa, se contiverem > 0,1 % (m/m) de butadieno",直馏石脑油脱己烷塔气（含丁二烯>0.1% m/m）,68513-15-5,271-000-8,
548,"Gases (petróleo), do despropanizador de um processo de hidrocracking, ricos em hidrocarbonetos, se contiverem > 0,1 % (m/m) de butadieno",加氢裂化脱丙烷塔气（富烃，含丁二烯>0.1% m/m）,68513-16-6,271-001-3,
549,"Gases (petróleo), do estabilizador da nafta leve de destilação directa, se contiverem > 0,1 % (m/m) de butadieno",直馏轻石脑油稳定塔气（含丁二烯>0.1% m/m）,68513-17-7,271-002-9,
550,"Gases (petróleo), do tanque de flash a alta pressão do efluente do reformer, se contiverem > 0,1 % (m/m) de butadieno",重整流出物高压闪蒸罐气（含丁二烯>0.1% m/m）,68513-18-8,271-003-4,
551,"Gases (petróleo), do tanque de flash a baixa pressão do efluente do reformer, se contiverem > 0,1 % (m/m) de butadieno",重整流出物低压闪蒸罐气（含丁二烯>0.1% m/m）,68513-19-9,271-005-5,
552,"Resíduos (petróleo), do splitter da alquilação, ricos em C4, se contiverem > 0,1 % (m/m) de butadieno",烷基化分馏塔残渣（富C4，含丁二烯>0.1% m/m）,68513-66-6,271-010-2,
553,"Hidrocarbonetos, C1-4, se contiverem > 0,1 % (m/m) de butadieno",烃类（C1-4，含丁二烯>0.1% m/m）,68514-31-8,271-032-2,
554,"Hidrocarbonetos, C1-4, tratados (sweetened), se contiverem > 0,1 % (m/m) de butadieno",精制烃类（C1-4，含丁二烯>0.1% m/m）,68514-36-3,271-038-5,
555,"Gases (petróleo), da destilação de gás de refinaria, se contiverem > 0,1 % (m/m) de butadieno",炼厂气蒸馏气（含丁二烯>0.1% m/m）,68527-15-1,271-258-1,
556,"Hidrocarbonetos, C1-3, se contiverem > 0,1 % (m/m) de butadieno",烃类（C1-3，含丁二烯>0.1% m/m）,68527-16-2,271-259-7,
557,"Hidrocarbonetos, C1-4, fração do desbutanizador, se contiverem > 0,1 % (m/m) de butadieno",烃类（C1-4，脱丁烷塔馏分，含丁二烯>0.1% m/m）,68527-19-5,271-261-8,
558,"Gases (petróleo), de cabeça do despentanizador da unidade de tratamento com hidrogênio da unidade de benzeno, se contiverem > 0,1 % (m/m) de butadieno",苯装置加氢处理单元脱戊烷塔塔顶气（含丁二烯>0.1% m/m）,68602-82-4,271-623-5,
559,"Gases (petróleo), C1-5, húmidos, se contiverem > 0,1 % (m/m) de butadieno",湿石油气（C1-5，含丁二烯>0.1% m/m）,68602-83-5,271-624-0,
560,"Gases (petróleo), da coluna de absorção secundária, do fracionador dos produtos de cabeça do cracker catalítico de leito fluidizado, se contiverem > 0,1 % (m/m) de butadieno",流化床催化裂化塔顶产品分馏塔二次吸收塔气（含丁二烯>0.1% m/m）,68602-84-6,271-625-6,
561,"Hidrocarbonetos, C2-4, se contiverem > 0,1 % (m/m) de butadieno",烃类（C2-4，含丁二烯>0.1% m/m）,68606-25-7,271-734-9,
562,"Hidrocarbonetos, C3, se contiverem > 0,1 % (m/m) de butadieno",烃类（C3，含丁二烯>0.1% m/m）,68606-26-8,271-735-4,
563,"Gases (petróleo), de alimentação da alquilação, se contiverem > 0,1 % (m/m) de butadieno",烷基化进料气（含丁二烯>0.1% m/m）,68606-27-9,271-737-5,
564,"Gases (petróleo), do fracionamento dos produtos de cauda do despropanizador, se contiverem > 0,1 % (m/m) de Butadieno",脱丙烷塔塔底产品分馏气（含丁二烯>0.1% m/m）,68606-34-8,271-742-2,
565,"Produtos petrolíferos, gases de refinaria, se contiverem > 0,1 % (m/m) de butadieno",石油产品、炼厂气（含丁二烯>0.1% m/m）,68607-11-4,271-750-6,
566,"Gases (petróleo), do separador de baixa pressão do hidrocracking, se contiverem > 0,1 % (m/m) de butadieno",加氢裂化低压分离器气（含丁二烯>0.1% m/m）,68783-06-2,272-182-1,
567,"Gases (petróleo), de mistura gases da refinaria, se contiverem > 0,1 % (m/m) de butadieno",炼厂混合气（含丁二烯>0.1% m/m）,68783-07-3,272-183-7,
568,"Gases (petróleo), do cracking catalítico, se contiverem > 0,1 % (m/m) de butadieno",催化裂化气（含丁二烯>0.1% m/m）,68783-64-2,272-203-4,
569,"Gases (petróleo), C2-4, tratados (sweetened), se contiverem > 0,1 % (m/m) de butadieno",精制石油气（C2-4，含丁二烯>0.1% m/m）,68783-65-3,272-205-5,
570,"Gases (petróleo), de refinaria, se contiverem > 0,1 % (m/m) de butadieno",炼厂气（含丁二烯>0.1% m/m）,68814-67-5,272-338-9,
571,"Gases (petróleo), do separador dos produtos do platformer, se contiverem > 0,1 % (m/m) de butadieno",铂重整产品分离器气（含丁二烯>0.1% m/m）,68814-90-4,272-343-6,
572,"Gases (petróleo), estabilizador para o despentanizador de querosene com enxofre tratado com hidrogênio, se contiverem > 0,1 % (m/m) de butadieno",加氢脱硫煤油脱戊烷塔稳定塔气（含丁二烯>0.1% m/m）,68911-58-0,272-775-5,
573,"Gases (petróleo), tanque de expansão súbita para querosene com enxofre tratado com hidrogênio, se contiverem > 0,1 % (m/m) de butadieno",加氢脱硫煤油急骤膨胀罐气（含丁二烯>0.1% m/m）,68911-59-1,-,
574,"Gases (petróleo), do fracionamento de petróleo bruto, se contiverem > 0,1 % (m/m) de butadieno",原油分馏气（含丁二烯>0.1% m/m）,68918-99-0,272-871-7,
575,"Gases (petróleo), do desexanizador, se contiverem > 0,1 % (m/m) de butadieno",脱己烷塔气（含丁二烯>0.1% m/m）,68919-00-6,272-872-2,
576,"Gases (petróleo), do stripper do destilado da dessulfurização unifiner, se contiverem > 0,1 % (m/m) de butadieno",Unifiner脱硫馏分汽提塔气（含丁二烯>0.1% m/m）,68919-01-7,272-873-8,
577,"Gases (petróleo), do fracionamento dos produtos do cracker catalítico de leito fluidizado, se contiverem > 0,1 % (m/m) de butadieno",流化床催化裂化产品分馏气（含丁二烯>0.1% m/m）,68919-02-8,272-874-3,
578,"Gases (petróleo), da torre de absorção secundária da separação de gases de um cracker catalítico de leito fluidizado, se contiverem > 0,1 % (m/m) de butadieno",流化床催化裂化气体分离二次吸收塔气（含丁二烯>0.1% m/m）,68919-03-9,272-875-9,
579,"Gases (petróleo), do stripper da unidade de hidrogenodessulfurização de um destilado pesado, se contiverem > 0,1 % (m/m) de butadieno",重馏分加氢脱硫装置汽提塔气（含丁二烯>0.1% m/m）,68919-04-0,272-876-4,
580,"Gases (petróleo), do estabilizador do fracionamento de gasolina leve de destilação directa, se contiverem > 0,1 % (m/m) de butadieno",直馏轻汽油稳定塔气（含丁二烯>0.1% m/m）,68919-05-1,272-878-5,
581,"Gases (petróleo), do stripper da unidade de dessulfurização unifiner de nafta, se contiverem > 0,1 % (m/m) de butadieno",石脑油Unifiner脱硫装置汽提塔气（含丁二烯>0.1% m/m）,68919-06-2,272-879-0,
582,"Gases (petróleo), do estabilizador do platformer, produtos de cauda leves do fracionamento, se contiverem > 0,1 % (m/m) de butadieno",铂重整稳定塔气（分馏轻塔底产物，含丁二烯>0.1% m/m）,68919-07-3,272-880-6,
583,"Gases (petróleo), da coluna de pré-flash, da destilação de petróleo bruto, se contiverem > 0,1 % (m/m) de butadieno",原油蒸馏预闪蒸塔气（含丁二烯>0.1% m/m）,68919-08-4,272-881-1,
584,"Gases (petróleo), do reforming catalítico da nafta de destilação directa, se contiverem > 0,1 % (m/m) de butadieno",直馏石脑油催化重整气（含丁二烯>0.1% m/m）,68919-09-5,272-882-7,
585,"Gases (petróleo), do estabilizador da destilação directa, se contiverem > 0,1 % (m/m) de butadieno",直馏稳定塔气（含丁二烯>0.1% m/m）,68919-10-8,272-883-2,
586,"Gases (petróleo), do fracionador do resíduo atmosférico, se contiverem > 0,1 % (m/m) de butadieno",常压残渣分馏塔气（含丁二烯>0.1% m/m）,68919-11-9,272-884-8,
587,"Gases (petróleo), do stripper da unidade unifiner, se contiverem > 0,1 % (m/m) de butadieno",Unifiner装置汽提塔气（含丁二烯>0.1% m/m）,68919-12-0,272-885-3,
588,"Gases (petróleo), de cabeça do separador do cracker catalítico de leito fluidizado, se contiverem > 0,1 % (m/m) de butadieno",流化床催化裂化分离器塔顶气（含丁二烯>0.1% m/m）,68919-20-0,272-893-7,
589,"Gases (petróleo), do desbutanizador de nafta do cracking catalítico, se contiverem > 0,1 % (m/m) de butadieno",催化裂化石脑油脱丁烷塔气（含丁二烯>0.1% m/m）,68952-76-1,273-169-3,
590,"Gás residual (petróleo), do estabilizador do destilado e da nafta do cracking catalítico, se contiver > 0,1 % (m/m) de butadieno",催化裂化馏分及石脑油稳定塔残余气（含丁二烯>0.1% m/m）,68952-77-2,273-170-9,
592,"Gás residual (petróleo), do hidrogenodessulfurizador da nafta de destilação directa, se contiver > 0,1 % (m/m) de butadieno",直馏石脑油加氢脱硫装置残余气（含丁二烯>0.1% m/m）,68952-80-7,273-174-0,
593,"Gás residual (petróleo), de destilado do cracking térmico e da coluna de absorção de gasóleo e nafta, se contiver > 0,1 % (m/m) de butadieno",热裂化馏分及柴油/石脑油吸收塔残余气（含丁二烯>0.1% m/m）,68952-81-8,273-175-6,
594,"Gás residual (petróleo), do estabilizador do fracionamento de hidrocarbonetos do cracking térmico; coking de petróleo, se contiver > 0,1 % (m/m) de butadieno",热裂化烃分馏稳定塔残余气；石油焦化残余气（含丁二烯>0.1% m/m）,68952-82-9,273-176-1,
595,"Gases (petróleo), leves do steam-cracking, concentrado de butadieno, se contiverem > 0,1 % (m/m) de butadieno",蒸汽裂解轻气、丁二烯浓缩物（含丁二烯>0.1% m/m）,68955-28-2,273-265-5,
596,"Gases (petróleo), da coluna de absorção (leanoil), do fracionamento de produtos do cracker catalítico de leito fluidizado e do produto de cabeça do dessulfurizador de gasóleo, se contiverem > 0,1 % (m/m) de butadieno",流化床催化裂化产品分馏吸收塔（贫油）及柴油脱硫塔顶产品气（含丁二烯>0.1% m/m）,68955-33-9,273-269-7,
597,"Gases (petróleo), de cabeça do estabilizador do reformer catalítico da nafta de destilação directa, se contiverem > 0,1 % (m/m) de butadieno",直馏石脑油催化重整稳定塔塔顶气（含丁二烯>0.1% m/m）,68955-34-0,273-270-2,
598,"Gases (petróleo), da destilação e cracking catalítico de petróleo bruto, se contiverem > 0,1 % (m/m) de butadieno",原油蒸馏及催化裂化气（含丁二烯>0.1% m/m）,68989-88-8,273-563-5,
599,"Hidrocarbonetos, C4 , se contiverem > 0,1 % (m/m) de butadieno",烃类（C4，含丁二烯>0.1% m/m）,87741-01-3,289-339-5,
600,"Alcanos, C1-4, ricos em C3, se contiverem > 0,1 % (m/m) de butadieno",烷烃（C1-4，富C3，含丁二烯>0.1% m/m）,90622-55-2,292-456-4,
601,"Gases (petróleo), da lavagem de gasóleos com dietanolamina, se contiverem > 0,1 % (m/m) de butadieno",二乙醇胺洗涤柴油气（含丁二烯>0.1% m/m）,92045-15-3,295-397-2,
602,"Gases (petróleo), efluentes da hidrogenodessulfurização de gasóleo, se contiverem > 0,1 % (m/m) de butadieno",柴油加氢脱硫流出气（含丁二烯>0.1% m/m）,92045-16-4,295-398-8,
603,"Gases (petróleo), da purga de hidrogenodessulfurização, se contiverem > 0,1 % (m/m) de butadieno",加氢脱硫吹扫气（含丁二烯>0.1% m/m）,92045-17-5,295-399-3,
604,"Gases (petróleo), do tanque de flash do hidrogenador, se contiverem > 0,1 % (m/m) de butadieno",加氢反应器闪蒸罐气（含丁二烯>0.1% m/m）,92045-18-6,295-400-7,
605,"Gases (petróleo), residuais e de alta pressão do steam-cracking da nafta, se contiverem > 0,1 % (m/m) de butadieno",石脑油蒸汽裂解残余高压气（含丁二烯>0.1% m/m）,92045-19-7,295-401-2,
606,"Gases (petróleo), da viscorredução de resíduos, se contiverem > 0,1 % (m/m) de butadieno",残渣减粘裂化气（含丁二烯>0.1% m/m）,92045-20-0,295-402-8,
607,"Gases (petróleo), ricos em C3 do steam-cracker, se contiverem > 0,1 % (m/m) de butadieno",蒸汽裂解富C3气（含丁二烯>0.1% m/m）,92045-22-2,295-404-9,
608,"Hidrocarbonetos, C4, destilado do steam-cracker, se contiverem > 0,1 % (m/m) de butadieno",蒸汽裂解C4馏分（含丁二烯>0.1% m/m）,92045-23-3,295-405-4,
609,"Gases de petróleo, liquefeitos, tratados (sweetened), fração C4, se contiverem > 0,1 % (m/m) de butadieno",精制液化石油气（C4馏分，含丁二烯>0.1% m/m）,92045-80-2,295-463-0,
610,"Hidrocarbonetos, C4, sem 1,3-butadieno e isobuteno, se contiverem > 0,1 % (m/m) de butadieno",烃类（C4，无1,3-丁二烯和异丁烯，含丁二烯>0.1% m/m）,95465-89-7,306-004-1,
611,"Refinados (petróleo), fração C4 do steam-cracking extraída com acetato de amônio cuproso, C3-5 e C3-5 insaturados, sem butadieno, se contiverem > 0,1 % (m/m) de butadieno",蒸汽裂解C4馏分（亚铜铵萃取，C3-5不饱和，无丁二烯，含丁二烯>0.1% m/m）,97722-19-5,307-769-4,
612,"Benzo[d,e,f]criseno (=benzo[a]pireno)",苯并[d,e,f]䓛（=苯并[a]芘）,50-32-8,200-028-5,
613,"Breu, alcatrão de carvão-petróleo, se contiver > 0,005 % (m/m) de benzo[a]pireno",煤焦油沥青（含苯并[a]芘>0.005% m/m）,68187-57-5,269-109-0,
614,"Destilados (carvão-petróleo), aromáticos polinucleares, se contiverem > 0,005 % (m/m) de benzo[a]pireno",煤焦油馏分（多环芳烃，含苯并[a]芘>0.005% m/m）,68188-48-7,269-159-3,
617,"Óleo de creosote, fração de acenafteno, sem acenafteno, se contiver > 0,005 % (m/m) de benzo[a]pireno",杂酚油（苊馏分，无苊，含苯并[a]芘>0.005% m/m）,90640-85-0,292-606-9,
618,"Breu, alcatrão de carvão, de temperatura baixa, se contiver > 0,005 % (m/m) de benzo[a]pireno",低温煤焦油沥青（含苯并[a]芘>0.005% m/m）,90669-57-1,292-651-4,
619,"Breu, alcatrão de carvão, de temperatura baixa, tratado termicamente, se contiver > 0,005 % (m/m) de benzo[a]pireno",热处理低温煤焦油沥青（含苯并[a]芘>0.005% m/m）,90669-58-2,292-653-5,
620,"Breu, alcatrão de carvão, de temperatura baixa, oxidado, se contiver > 0,005 % (m/m) de benzo[a]pireno",氧化低温煤焦油沥青（含苯并[a]芘>0.005% m/m）,90669-59-3,292-654-0,
